Metric,Value
design__max_fanout_violation__count__corner:max_tt_025C_1v80,446
design__max_cap_violation__count__corner:max_tt_025C_1v80,13
clock__skew__worst_hold__corner:max_tt_025C_1v80,-0.6634393222576741
clock__skew__worst_setup__corner:max_tt_025C_1v80,0.48757155248818196
timing__hold__ws__corner:max_tt_025C_1v80,0.34613335399828515
timing__setup__ws__corner:max_tt_025C_1v80,7.0927417058288595
timing__hold__tns__corner:max_tt_025C_1v80,0.0
timing__setup__tns__corner:max_tt_025C_1v80,0.0
timing__hold__wns__corner:max_tt_025C_1v80,0
timing__setup__wns__corner:max_tt_025C_1v80,0.0
timing__hold_vio__count__corner:max_tt_025C_1v80,0
timing__hold_r2r__ws__corner:max_tt_025C_1v80,0.346133
timing__hold_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__setup_vio__count__corner:max_tt_025C_1v80,0
timing__setup_r2r__ws__corner:max_tt_025C_1v80,7.092741
timing__setup_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__unannotated_net__count__corner:max_tt_025C_1v80,306
timing__unannotated_net_filtered__count__corner:max_tt_025C_1v80,0
design__max_slew_violation__count__corner:max_ss_100C_1v60,16712
design__max_fanout_violation__count__corner:max_ss_100C_1v60,446
design__max_cap_violation__count__corner:max_ss_100C_1v60,110
clock__skew__worst_hold__corner:max_ss_100C_1v60,-0.9664751494887589
clock__skew__worst_setup__corner:max_ss_100C_1v60,0.6229157366235608
timing__hold__ws__corner:max_ss_100C_1v60,0.8729723857549945
timing__setup__ws__corner:max_ss_100C_1v60,-4.787416820700864
timing__hold__tns__corner:max_ss_100C_1v60,0.0
timing__setup__tns__corner:max_ss_100C_1v60,-361.9956419304159
timing__hold__wns__corner:max_ss_100C_1v60,0
timing__setup__wns__corner:max_ss_100C_1v60,-4.787416820700864
timing__hold_vio__count__corner:max_ss_100C_1v60,0
timing__hold_r2r__ws__corner:max_ss_100C_1v60,0.872972
timing__hold_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__setup_vio__count__corner:max_ss_100C_1v60,142
timing__setup_r2r__ws__corner:max_ss_100C_1v60,-4.787417
timing__setup_r2r_vio__count__corner:max_ss_100C_1v60,142
timing__unannotated_net__count__corner:max_ss_100C_1v60,306
timing__unannotated_net_filtered__count__corner:max_ss_100C_1v60,0
design__max_slew_violation__count__corner:max_ff_n40C_1v95,691
design__max_fanout_violation__count__corner:max_ff_n40C_1v95,446
design__max_cap_violation__count__corner:max_ff_n40C_1v95,7
clock__skew__worst_hold__corner:max_ff_n40C_1v95,-0.5458869066843088
clock__skew__worst_setup__corner:max_ff_n40C_1v95,0.423459751472128
timing__hold__ws__corner:max_ff_n40C_1v95,0.12273149510741353
timing__setup__ws__corner:max_ff_n40C_1v95,10.47100746858152
timing__hold__tns__corner:max_ff_n40C_1v95,0.0
timing__setup__tns__corner:max_ff_n40C_1v95,0.0
timing__hold__wns__corner:max_ff_n40C_1v95,0
timing__setup__wns__corner:max_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:max_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:max_ff_n40C_1v95,0.122731
timing__hold_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:max_ff_n40C_1v95,11.810733
timing__setup_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count__corner:max_ff_n40C_1v95,306
timing__unannotated_net_filtered__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count,306
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_tt_025C_1v80,1.79949
design_powergrid__drop__average__net:VPWR__corner:nom_tt_025C_1v80,1.79989
design_powergrid__drop__worst__net:VPWR__corner:nom_tt_025C_1v80,0.000514612
design_powergrid__voltage__worst__net:VGND__corner:nom_tt_025C_1v80,0.000426132
design_powergrid__drop__average__net:VGND__corner:nom_tt_025C_1v80,0.000109526
design_powergrid__drop__worst__net:VGND__corner:nom_tt_025C_1v80,0.000426132
design_powergrid__voltage__worst,0.000426132
design_powergrid__voltage__worst__net:VPWR,1.79949
design_powergrid__drop__worst,0.000514612
design_powergrid__drop__worst__net:VPWR,0.000514612
design_powergrid__voltage__worst__net:VGND,0.000426132
design_powergrid__drop__worst__net:VGND,0.000426132
ir__voltage__worst,1.8000000000000000444089209850062616169452667236328125
ir__drop__avg,0.000111000000000000001118029280267052172348485328257083892822265625
ir__drop__worst,0.00051500000000000004975186929101482746773399412631988525390625
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
